"mapneighbor"	"crimeneighbor"
"MAYWOOD PARK"	"NA"
"MC UNCLAIMED #1"	"NA"
"MC UNCLAIMED #11"	"NA"
"MC UNCLAIMED #13"	"NA"
"MC UNCLAIMED #2"	"NA"
"MC UNCLAIMED #5"	"NA"
"MC UNCLAIMED #6"	"NA"
"SOUTH BURLINGAME"	"S BURLINGAME"
"ALAMEDA"	"ALAMEDA"
"ALAMEDA/BEAUMONT-WILSHIRE"	"ALAMEDA"
"ALAMEDA/IRVINGTON"	"ALAMEDA"
"ARBOR LODGE"	"ARBOR LODGE"
"ARDENWALD-JOHNSON CREEK"	"ARBOR LODGE"
"ARDENWALD-JOHNSON CREEK/WOODSTOCK"	"ARBOR LODGE"
"ARGAY"	"ARGAY"
"ARGAY/WILKES"	"ARGAY"
"ARLINGTON HEIGHTS"	"ARLINGTON HGHTS"
"ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS"	"ARLINGTON HGHTS"
"ARNOLD CREEK"	"ARNOLD CREEK"
"ASHCREEK"	"ASHCREEK"
"ASHCREEK/CRESTWOOD"	"ASHCREEK"
"BEAUMONT-WILSHIRE"	"BEAUMONT-WILSHR"
"BOISE"	"BOISE"
"BOISE/ELIOT"	"BOISE"
"BRENTWOOD-DARLINGTON"	"BRENTWD-DARLNGT"
"BRIDGETON"	"BRIDGETON"
"BRIDLEMILE"	"BRIDLEMILE"
"BRIDLEMILE/SOUTHWEST HILLS"	"BRIDLEMILE"
"BROOKLYN ACTION CORPS"	"BROOKLYN"
"BUCKMAN"	"BUCKMAN"
"CATHEDRAL PARK"	"CATHEDRAL PARK"
"CENTENNIAL"	"CENTENNIAL"
"CENTENNIAL/PLEASANT VALLEY"	"CENTENNIAL"
"OLD TOWN/CHINATOWN"	"CHINA/OLD TOWN"
"COLLINS VIEW"	"COLLINS VIEW"
"CONCORDIA"	"CONCORDIA"
"CRESTWOOD"	"CRESTWOOD"
"CRESTON-KENILWORTH"	"CRSTN-KENILWTH"
"CULLY"	"CULLY"
"DOWNTOWN"	"DOWNTOWN"
"EAST COLUMBIA"	"E COLUMBIA"
"EASTMORELAND"	"EASTMORELAND"
"EASTMORELAND/ARDENWALD-JOHNSON CREEK"	"EASTMORELAND"
"EASTMORELAND/REED"	"EASTMORELAND"
"ELIOT"	"ELIOT"
"FAR SOUTHWEST"	"FAR SOUTHWEST"
"FOREST PARK"	"FOREST PARK"
"FOREST PARK/LINNTON"	"FOREST PARK"
"FOREST PARK/NORTHWEST DISTRICT"	"FOREST PARK"
"FOSTER-POWELL"	"FOSTER-POWELL"
"GLENFAIR"	"GLENFAIR"
"GOOSE HOLLOW"	"GOOSE HOLLOW"
"GOOSE HOLLOW/SOUTHWEST HILLS"	"GOOSE HOLLOW"
"GRANT PARK"	"GRANT PARK"
"GRANT PARK/HOLLYWOOD"	"GRANT PARK"
"HAYDEN ISLAND"	"HAYDEN ISLAND"
"HAYHURST"	"HAYHURST"
"HAZELWOOD"	"HAZELWOOD"
"HAZELWOOD/MILL PARK"	"HAZELWOOD"
"HEALY HEIGHTS/SOUTHWEST HILLS"	"HEALY HEIGHTS"
"HILLSDALE"	"HILLSDALE"
"HILLSIDE"	"HILLSIDE"
"HILLSIDE/NORTHWEST DISTRICT"	"HILLSIDE"
"HOLLYWOOD"	"HOLLYWOOD"
"HOMESTEAD"	"HOMESTEAD"
"HOSFORD-ABERNETHY"	"HOSFRD-ABRNETHY"
"HUMBOLDT"	"HUMBOLDT"
"IRVINGTON"	"IRVINGTON"
"KENTON"	"KENTON"
"KERNS"	"KERNS"
"KING"	"KING"
"LAURELHURST"	"LAURELHURST"
"LENTS"	"LENTS"
"LENTS/POWELLHURST-GILBERT"	"LENTS"
"LINNTON"	"LINNTON"
"LLOYD DISTRICT"	"LLOYD"
"LLOYD DISTRICT/SULLIVAN'S GULCH"	"LLOYD"
"MADISON SOUTH"	"MADISON SOUTH"
"MAPLEWOOD"	"MAPLEWOOD"
"MARKHAM"	"MARKHAM"
"MARSHALL PARK"	"MARSHALL PARK"
"MILL PARK"	"MILL PARK"
"MONTAVILLA"	"MONTAVILLA"
"MT. SCOTT-ARLETA"	"MT SCOTT-ARLETA"
"MT. TABOR"	"MT TABOR"
"MULTNOMAH"	"MULTNOMAH"
"NORTH TABOR"	"NORTH TABOR"
"NORTHWEST DISTRICT"	"NORTHWEST"
"NORTHWEST HEIGHTS"	"NORTHWEST HTS"
"NORTHWEST DISTRICT/NORTHWEST INDUSTRIAL"	"NORTHWEST IND"
"NORTHWEST INDUSTRIAL"	"NORTHWEST IND"
"OVERLOOK"	"OVERLOOK"
"PARKROSE"	"PARKROSE"
"PARKROSE HEIGHTS"	"PARKROSE HGTS"
"PEARL"	"PEARL"
"PIEDMONT"	"PIEDMONT"
"PLEASANT VALLEY"	"PLEASANT VALLEY"
"PLEASANT VALLEY/POWELLHURST-GILBERT"	"PLEASANT VALLEY"
"PORTSMOUTH"	"PORTSMOUTH"
"POWELLHURST-GILBERT"	"POWELHST-GILBRT"
"REED"	"REED"
"RICHMOND"	"RICHMOND"
"ROSE CITY PARK"	"ROSE CITY PARK"
"ROSEWAY"	"ROSEWAY"
"ROSEWAY/MADISON SOUTH"	"ROSEWAY"
"RUSSELL"	"RUSSELL"
"SABIN"	"SABIN"
"SABIN/IRVINGTON"	"SABIN"
"SELLWOOD-MORELAND IMPROVEMENT LEAGUE"	"SELLWD-MORELAND"
"SOUTH PORTLAND"	"SOUTH PORTLAND"
"SOUTH TABOR"	"SOUTH TABOR"
"SOUTHWEST HILLS"	"SOUTHWEST HILLS"
"ST. JOHNS"	"ST JOHNS"
"SULLIVAN'S GULCH"	"SULLIVANS GULCH"
"SUMNER"	"SUMNER"
"SUNDERLAND"	"SUNDERLAND"
"SUNNYSIDE"	"SUNNYSIDE"
"SYLVAN-HIGHLANDS"	"SYLVAN-HIGHLNDS"
"SYLVAN-HIGHLANDS/SOUTHWEST HILLS"	"SYLVAN-HIGHLNDS"
"UNIVERSITY PARK"	"UNIVERSITY PARK"
"VERNON"	"VERNON"
"WEST PORTLAND PARK"	"W PORTLAND PARK"
"WILKES"	"WILKES"
"WOODLAND PARK"	"WOODLAND PARK"
"WOODLAWN"	"WOODLAWN"
"WOODSTOCK"	"WOODSTOCK"

